"SYMBOL","ENTREZID"
"Gm13350","100462895"
"Mir3474","100499529"
"Gm12034","100502908"
"Klhl3","100503085"
"Gm19557","100503104"
"Gm14861","100503124"
"Gm10913","100503125"
"Gm14636","100503338"
"4833438C02Rik","100503392"
"Fsbp","100503583"
"Gm38426","100503676"
"2410022M11Rik","100503842"
"Pet100","100503890"
"Gm20091","100504157"
"Efcab8","100504221"
"2210418O10Rik","100504263"
"Snora33","100529074"
"Snord42b","100529077"
"Gm15790","100534274"
"Gm10167","100534385"
"Gm21168","100861728"
"Btbd35f23","100861966"
"Gm21370","100861977"
"Gm21378","100861986"
"Btbd35f29","100862067"
"Btbd35f21","100862329"
"Mir5710","100885845"
"Gm29801","101056225"
"Gm29804","101056232"
"Polr2k-ps","102238523"
"Mir6897","102465540"
"Mir6902","102465544"
"Mir6907","102465547"
"Mir6936","102465565"
"Mir7036","102465627"
"Mir7052","102465637"
"Mir7060","102465642"
"Mir7075","102465652"
"Mir1668","102465897"
"Mir8113","102465901"
"Mir8119","102465997"
"Mir7069","102466220"
"Mir7024","102466789"
"Mir7058","102466797"
"Mir7091","102466804"
"Mir8107","102466885"
"Gm29848","102631535"
"Gm30181","102631998"
"Gm9078","102632016"
"Gm20482","102632136"
"Gm30603","102632562"
"Gm12322","102632842"
"Oaz2-ps","102633210"
"Gm11533","102633313"
"Gm31597","102633874"
"Gm13785","102633903"
"Gm31725","102634044"
"Gm14966","102634533"
"Gm29485","102634727"
"Gm32256","102634749"
"Gm25432","102635008"
"Gm38476","102635198"
"Gm32856","102635552"
"Ggnbp2os","102635561"
"1500002C15Rik","102636313"
"Gm34484","102637753"
"Gm38501","102637775"
"Gm10476","102637839"
"Gm35144","102638621"
"Gm35343","102638889"
"Gm4734","102639109"
"Gm14296","102639598"
"Gm36117","102639918"
"Gm38525","102640171"
"Gm26782","102640338"
"1700023D09Rik","102640359"
"Gm16061","102641305"
"Gm37108","102641523"
"Gm21992","102902673"
"Gm38834","105242685"
"Gm39061","105243016"
"Gm39499","105243668"
"Gm39668","105243962"
"Gm39761","105244087"
"Gm13786","105244232"
"Gm39883","105244240"
"Gm40443","105244921"
"Gm40462","105244940"
"Gm40856","105245392"
"Gm41395","105246033"
"Gm41396","105246035"
"Gm41461","105246120"
"Gm41884","105246617"
"Gm9057","105247048"
"Gm42402","105247274"
"Gm17415","108167670"
"Gm46432","108168103"
"Gm46562","108168301"
"Gm14530","108168458"
"Gm14830","108168490"
"Gm13868","108168780"
"Gm46775","108168813"
"Gm46811","108168879"
"Gm43707","108168906"
"Gm46857","108168950"
"Gm16288","108169035"
"Gm46965","108169152"
"Gm46967","108169155"
"Htd2","109729085"
"Eef1akmt4","110599566"
